course_id,course_name,T1,T2,T3,course_overview,enrolled,rating_count,avg_rating
14,Data Science and Deep Learning with Python,Python,,Data Science,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks.",1829.2,292.7411363,3
15,Spark and Python for Big Data with PySpark,Python,Spark,Data Science,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",885.5,184.3707235,4.5
16,Building Recommender Systems with Machine Learning and AI,Python,R,Machine Learning,"Help people discover new products and content with deep learning, neural networks, and machine learning recommendations.",97.1,12.80859938,3.5
17,Natural Language Processing with Deep Learning in Python,Python,NLP,Data Science,"Complete guide on deriving and implementing word2vec, GloVe, word embeddings, and sentiment analysis with recursive nets.",441.9,63.55179809,5
18,Master Computer Vision,Python,,Machine Learning,"Master OpenCV4 like a pro while learning Dlib, Deep Learning Computer Vision (Keras, TensorFlow & Caffe) + 21 Projects!",282.8,49.75478412,3.5
19,SQL - MySQL for Data Analytics and Business Intelligence,SQL,,Data Science,"SQL that will get you hired – SQL for Business Analysis, Marketing, and Data Management.",1240.1,307.7049922,5
20,R Programming A-Z™: R For Data Science With Real Exercises!,R,,Data Science,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2.",2581.2,571.2,4
21,Statistics for Data Analysis Using R,R,,Data Science,"Learn Programming in R & R Studio, Descriptive, Inferential Statistics, Plots for Data Visualization, Data Science.",83.02,15.5,3
22,Tableau 10 A-Z: Hands-On Tableau Training For Data Science!,Tableau,,Data Science,Learn Tableau 10 for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,146,40.9,4
23,Deep Learning and NLP A-Z™: How to create a ChatBot,R,Python,Machine Learning,Learn the Theory and How to implement state of the art Deep Natural Language Processing models in Tensorflow and Python.,269.9,41.34,4.5
24,The Python Mega Course: Build 10 Real World Applications,Python,,Machine Learning,A complete Python course for both beginners and intermediates! Master Python 3 by making 10 amazing Python apps.,3174.1,648.9,4
25,Automate the Boring Stuff with Python Programming,Python,,Machine Learning,"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",3889.7,430.8,3.5
28,Java Programming Masterclass for Software Developers,Java,,Android,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification.,9646.1,2286.7,5
29,Selenium WebDriver with Java -Basics to Advanced+Frameworks,Java,,Android,"""TOP RATED (BEST SELLER) #1 Master SELENIUM java course"" -3 Million students learning worldWide with great collaboration.",492.4,60.6,5
30,The Complete Android & Java Developer Course - Build 21 Apps,Java,Android Studio,Android,"Learn Android Development, Java & Android Studio from Scratch in 5 Weeks. Build a Diary App & more.",529.7,90,4.5
31,The Complete Android N Developer Course,Java,Android Studio,Android,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",2384.4,434.3,4
32,The Complete Android Oreo Developer Course - Build 23 Apps!,Java,Android Studio,Android,"Learn Android O App Development using Java & Kotlin - build real apps including Super Mario Run, Whatsapp and Instagram!",749.7,145.8,2
